ATEN	A10 Networks, Inc.	Information Technology	Systems Software	San Jose, California	view	0001580808
ATMU	Atmus Filtration Technologies Inc.	Industrials	Industrial Machinery & Supplies & Components	Nashville, Tennessee	view	0001921963
AUB	Atlantic Union Bankshares, Corp.	Financials	Regional Banks	Richmond, Virginia	view	0000883948
AVA	Avista Corporation	Utilities	Multi-Utilities	Spokane, Washington	view	0000104918
AWI	Armstrong World Industries, Inc.	Industrials	Building Products	Lancaster, Pennsylvania	view	0000007431
AWR	American States Water Company	Utilities	Water Utilities	San Dimas, California	view	0001056903
AX	Axos Financial, Inc.	Financials	Regional Banks	Las Vegas, Nevada	view	0001299709
AZTA	Azenta, Inc.	Health Care	Life Sciences Tools & Services	Chelmsford, Massachusetts	view	0000933974
AZZ	AZZ, Inc.	Industrials	Heavy Electrical Equipment	Fort Worth, Texas	view	0000008947
BANC	Banc Of California, Inc.	Financials	Regional Banks	Santa Ana, California	view	0001169770
BANF	Bancfirst Corp	Financials	Regional Banks	Oklahoma City, Oklahoma	view	0000760498
BANR	Banner Corporation	Financials	Regional Banks	Walla Walla, Washington	view	0000946673
BBT	Beacon Financial Corp.	Financials	Regional Banks	Boston, Massachusetts	view	0001108134
BCC	Boise Cascade	Industrials	Building Products	Boise, Idaho	view	0001328581
BCPC	Balchem Corporation	Materials	Specialty Chemicals	Montvale, New Jersey	view	0000009326
BFAM	Bright Horizons Family Solutions Inc.	Consumer Discretionary	Specialized Consumer Services	Newton, Massachusetts	view	0001437578
BFH	Bread Financial Holdings, Inc.	Financials	Consumer Finance	Columbus, Ohio	view	0001101215
BFS	Saul Centers, Inc.	Real Estate	Retail REITs	Bethesda, Maryland	view	0000907254
BGC	BGC Group, Inc.	Financials	Investment Banking & Brokerage	New York City, New York	view	0001094831
BHE	Benchmark Electronics, Inc.	Information Technology	Electronic Manufacturing Services	Tempe, Arizona	view	0000863436
BJRI	BJ's Restaurants, Inc.	Consumer Discretionary	Restaurants	Huntington Beach, California	view	0001013488
BKE	The Buckle, Inc.	Consumer Discretionary	Apparel Retail	Kearney, Nebraska	view	0000885245
BKU	BankUnited, Inc.	Financials	Regional Banks	Miami Lakes, Florida	view	0001504008
BL	BlackLine Systems, Inc.	Information Technology	Application Software	Los Angeles, California	view	0001666134
BLFS	BioLife Solutions, Inc.	Health Care	Health Care Supplies	Bothell, Washington	view	0000834365
BLKB	Blackbaud	Information Technology	Application Software	Charleston, South Carolina	view	0001280058
BMI	Badger Meter, Inc.	Information Technology	Electronic Equipment & Instruments	Milwaukee, Wisconsin	view	0000009092
BNL	Broadstone Net Lease, Inc.	Real Estate	Industrial REITs	Victor, New York	view	0001424182
BOH	Bank of Hawaii	Financials	Regional Banks	Honolulu, Hawaii	view	0000046195
BOOT	Boot Barn Holdings, Inc.	Consumer Discretionary	Apparel Retail	Irvine, California	view	0001610250
BOX	Box, Inc.	Information Technology	Application Software	Redwood City, California	view	0001372612
BRC	Brady Corporation	Industrials	Commercial Printing	Milwaukee, Wisconsin	view	0000746598
BTU	Peabody Energy, Inc.	Energy	Coal & Consumable Fuels	St. Louis, Missouri	view	0001064728
BXMT	Blackstone Mortgage Trust, Inc.	Financials	Mortgage REITs	New York City, New York	view	0001061630
CACC	Credit Acceptance	Financials	Specialized Finance	Southfield, Michigan	view	0000885550
CAG	Conagra Brands	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois	view	0000023217
CAKE	The Cheesecake Factory, Inc.	Consumer Discretionary	Restaurants	Calabasas, California	view	0000887596
CALM	Cal-Maine Foods, Inc.	Consumer Staples	Packaged Foods & Meats	Jackson, Mississippi	view	0000016160
CALX	Calix	Information Technology	Application Software	San Jose, California	view	0001406666
CALY	Callaway Golf Company	Consumer Discretionary	Leisure Products	Carlsbad, California	view	0000837465
CARG	CarGurus	Communication Services	Interactive Media & Services	Cambridge, Massachusetts	view	0001494259
CASH	Pathward Financial, Inc.	Financials	Regional Banks	Sioux Falls, South Dakota	view	0000907471
CATY	Cathay General Bancorp	Financials	Regional Banks	Los Angeles, California	view	0000861842
CBRL	Cracker Barrel	Consumer Discretionary	Restaurants	Lebanon, Tennessee	view	0001067294
CBU	Community Bank System, Inc.	Financials	Regional Banks	DeWitt, New York	view	0000723188
CC	Chemours	Materials	Diversified Chemicals	Wilmington, Delaware	view	0001627223
CCOI	Cogent Communications Holdings, Inc.	Communication Services	Alternative Carriers	Washington, D.C.	view	0001158324
CCS	Century Communities, Inc.	Consumer Discretionary	Homebuilding	Greenwood Village, Colorado	view	0001576940
CE	Celanese	Materials	Specialty Chemicals	Irving, Texas	view	0001306830
CENT	Central Garden & Pet Company	Consumer Staples	Household Products	Walnut Creek, California	view	0000887733
CENTA	Central Garden & Pet Company (Class A)	Consumer Staples	Household Products	Walnut Creek, California	view	0000887733
CENX	Century Aluminum Company	Materials	Aluminum	Chicago, Illinois	view	0000949157
CERT	Certara, Inc.	Health Care	Health Care Technology	Princeton, New Jersey	view	0001827090
CFFN	Capitol Federal Savings Bank	Financials	Regional Banks	Topeka, Kansas	view	0001490906
CHCO	City Holding Company	Financials	Regional Banks	Charleston, West Virginia	view	0000726854
CHEF	Chefs' Warehouse, Inc.	Consumer Staples	Food Distributors	Ridgefield, Connecticut	view	0001517175
CLSK	CleanSpark, Inc.	Information Technology	Internet Services & Infrastructure	Henderson, Nevada	view	0000827876
CNK	Cinemark Holdings, Inc.	Communication Services	Movies & Entertainment	Plano, Texas	view	0001385280
CNMD	CONMED Corporation	Health Care	Health Care Equipment	Largo, Florida	view	0000816956
CNR	Core Natural Resources, Inc.	Energy	Coal & Consumable Fuels	Cecil Township, Pennsylvania	view	0001710366
CNS	Cohen & Steers, Inc.	Financials	Asset Management & Custody Banks	New York City, New York	view	0001284812
CNXC	Concentrix	Industrials	Data Processing & Outsourced Services	Newark, California	view	0001803599
CNXN	PC Connection, Inc.	Information Technology	Technology Distributors	Merrimack, New Hampshire	view	0001050377
COCO	The Vita Coco Company	Consumer Staples	Soft Drinks & Non-alcoholic Beverages	New York City, New York	view	0001482981
COHU	Cohu, Inc.	Information Technology	Semiconductor Materials & Equipment	Poway, California	view	0000021535
COLL	Collegium Pharmaceutical, Inc.	Health Care	Pharmaceuticals	Stoughton, Massachusetts	view	0001267565
CON	Concentra Group Holdings Parent, Inc.	Health Care	Health Care Services	Mechanicsburg, Pennsylvania	view	0002014596
CORT	Corcept Therapeutics Incorporated	Health Care	Pharmaceuticals	Menlo Park, California	view	0001088856
COTY	Coty	Consumer Staples	Personal Care Products	New York City, New York	view	0001024305
CPB	The Campbell's Company	Consumer Staples	Packaged Foods & Meats	Camden, New Jersey	view	0000016732
CPF	Central Pacific Financial Corp.	Financials	Regional Banks	Honolulu, Hawaii	view	0000701347
CPK	Chesapeake Utilities Corp.	Utilities	Gas Utilities	Dover, Delaware	view	0000019745
CRC	California Resources Corporation	Energy	Oil & Gas Exploration & Production	Los Angeles, California	view	0001609253
CRGY	Crescent Energy Company	Energy	Oil & Gas Exploration & Production	Houston, Texas	view	0001866175
CRI	Carter's, Inc.	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Atlanta, Georgia	view	0001060822
CRK	Comstock Resources, Inc.	Energy	Oil & Gas Exploration & Production	Frisco, Texas	view	0000023194
CRSR	Corsair Gaming	Information Technology	Technology Hardware, Storage & Peripherals	Milpitas, California	view	0001743759
CRVL	CorVel Corporation	Health Care	Health Care Services	Irvine, California	view	0000874866
CSR	Centerspace Trust	Real Estate	Multi-Family Residential REITs	Minot, North Dakota	view	0000798359
CSW	CSW Industrials, Inc.	Industrials	Industrial Conglomerates	Dallas, Texas	view	0001624794
CTS	CTS Corporation	Information Technology	Electronic Manufacturing Services	Lisle, Illinois	view	0000026058
CUBI	Customers Bancorp, Inc.	Financials	Regional Banks	Reading, Pennsylvania	view	0001488813
CURB	Curbline Properties Corp.	Real Estate	Retail REITs	New York City, New York	view	0002027317
CVBF	CVB Financial Corp.	Financials	Regional Banks	Ontario, California	view	0000354647
CVCO	Cavco Industries, Inc.	Consumer Discretionary	Homebuilding	Phoenix, Arizona	view	0000278166
CVI	CVR Energy, Inc.	Energy	Oil & Gas Refining & Marketing	Sugar Land, Texas	view	0001376139
CVSA	Covista Inc.	Consumer Discretionary	Education Services	Chicago, Illinois	view	0000730464
CWEN	Clearway Energy, Inc. (Class C)	Utilities	Renewable Electricity	Princeton, New Jersey	view	0001567683
CWEN.A	Clearway Energy, Inc. (Class A)	Utilities	Renewable Electricity	Princeton, New Jersey	view	0001567683
CWK	Cushman & Wakefield plc	Real Estate	Real Estate Services	Chicago, Illinois	view	0001628369
CWST	Casella Waste Systems, Inc.	Industrials	Environmental & Facilities Services	Rutland, Vermont	view	0000911177
CWT	California Water Service Group	Utilities	Water Utilities	San Jose, California	view	0001035201
CXM	Sprinklr, Inc.	Information Technology	Application Software	New York City, New York	view	0001569345
CXW	CoreCivic	Industrials	Diversified Support Services	Brentwood, Tennessee	view	0001070985
CZR	Caesars Entertainment	Consumer Discretionary	Casinos & Gaming	Reno, Nevada	view	0001590895
DAN	Dana Incorporated	Consumer Discretionary	Automotive Parts & Equipment	Maumee, Ohio	view	0000026780
DAVE	Dave, Inc.	Financials	Consumer Finance	Los Angeles, California	view	0001841408
DBD	Diebold Nixdorf	Information Technology	Electronic Equipment & Instruments	North Canton, Ohio	view	0000028823
DCH	Dauch Corporation	Consumer Discretionary	Automotive Parts & Equipment	Detroit, Michigan	view	0001062231
DCOM	Dime Community Bancshares, Inc.	Financials	Regional Banks	Hauppauge, New York	view	0000846617
DEA	Easterly Government Properties, Inc.	Real Estate	Office REITs	Washington, D.C.	view	0001622194
DEI	Douglas Emmett	Real Estate	Office REITs	Santa Monica, California	view	0001364250
DFH	Dream Finders Homes, Inc.	Consumer Discretionary	Homebuilding	Jacksonville, Florida	view	0001825088
DFIN	Donnelley Financial Solutions, Inc.	Financials	Financial Exchanges & Data	Chicago, Illinois	view	0001669811
DGII	Digi International Inc.	Information Technology	Communications Equipment	Hopkins, Minnesota	view	0000854775
DIOD	Diodes Incorporated	Information Technology	Semiconductors	Plano, Texas	view	0000029002
DLX	Deluxe Corporation	Industrials	Commercial Printing	Minneapolis, Minnesota	view	0000027996
DMC	Del Monte Corporation	Consumer Staples	Packaged Foods & Meats	Coral Gables, Florida	view	0001047340
DNOW	NOW Inc	Industrials	Trading Companies & Distributors	Houston, Texas	view	0001599617
DORM	Dorman Products, Inc.	Consumer Discretionary	Automotive Parts & Equipment	Colmar, Pennsylvania	view	0000868780
DRH	DiamondRock Hospitality Company	Real Estate	Hotel & Resort REITs	Bethesda, Maryland	view	0001298946
DV	DoubleVerify Holdings Inc.	Communication Services	Advertising	New York City, New York	view	0001819928
DXC	DXC Technology	Information Technology	IT Consulting & Other Services	Ashburn, Virginia	view	0001688568
DXPE	DXP Enterprises, Inc.	Industrials	Trading Companies & Distributors	Houston, Texas	view	0001020710
EAT	Brinker International, Inc.	Consumer Discretionary	Restaurants	Dallas, Texas	view	0000703351
EBC	Eastern Bankshares, Inc.	Financials	Regional Banks	Boston, Massachusetts	view	0001810546
ECG	Everus Construction Group, Inc.	Industrials	Construction & Engineering	Bismarck, North Dakota	view	0002015845
ECPG	Encore Capital Group, Inc.	Financials	Consumer Finance	San Diego, California	view	0001084961
EFC	Ellington Financial, Inc.	Financials	Specialized Finance	Greenwich, Connecticut	view	0001411342
EFOR	Everforth Inc.	Information Technology	IT Consulting & Other Services	Glen Allen, Virginia	view	0000890564
EGBN	Eagle Bancorp Inc	Financials	Regional Banks	Bethesda, Maryland	view	0001050441
EIG	Employers Holdings, Inc.	Financials	Property & Casualty Insurance	Henderson, Nevada	view	0001379041
EMN	Eastman Chemical Company	Materials	Specialty Chemicals	Kingsport, Tennessee	view	0000915389
ENOV	Enovis	Health Care	Health Care Equipment	Wilmington, Delaware	view	0001420800
ENPH	Enphase Energy	Information Technology	Semiconductor Materials & Equipment	Fremont, California	view	0001463101
ENR	Energizer	Consumer Staples	Household Products	St. Louis, Missouri	view	0001632790
ENVA	Enova International, Inc.	Financials	Consumer Finance	Chicago, Illinois	view	0001529864
EPAC	Enerpac Tool Group	Industrials	Industrial Machinery & Supplies & Components	Menomonee Falls, Wisconsin	view	0000006955
EPAM	EPAM Systems	Information Technology	IT Consulting & Other Services	Newtown, Pennsylvania	view	0001352010
EPC	Edgewell Personal Care	Consumer Staples	Household Products	Shelton, Connecticut	view	0001096752
EPRT	Essential Properties Realty Trust, Inc.	Real Estate	Diversified REITs	Princeton, New Jersey	view	0001728951
ESE	ESCO Technologies Inc.	Industrials	Industrial Machinery & Supplies & Components	St. Louis, Missouri	view	0000866706
ESI	Element Solutions	Materials	Specialty Chemicals	Fort Lauderdale, Florida	view	0001590714
ETSY	Etsy	Consumer Discretionary	Broadline Retail	New York City, New York	view	0001370637
EVTC	EVERTEC, Inc.	Financials	Transaction & Payment Processing Services	San Juan, Puerto Rico	view	0001559865
EXTR	Extreme Networks, Inc.	Information Technology	Communications Equipment	Morrisville, North Carolina	view	0001078271
EYE	National Vision Holdings	Consumer Discretionary	Specialty Stores	Duluth, Georgia	view	0001710155
EZPW	EZCORP, Inc.	Financials	Consumer Finance	Austin, Texas	view	0000876523
FA	First Advantage Corporation	Industrials	Human Resource & Employment Services	Atlanta, Georgia	view	0001210677
FBK	FB Financial Corp.	Financials	Regional Banks	Nashville, Tennessee	view	0001649749
FBNC	First Bancorp (Southern Pines NC)	Financials	Regional Banks	Southern Pines, North Carolina	view	0000811589
FBP	First BanCorp (Puerto Rico)	Financials	Regional Banks	San Juan, Puerto Rico	view	0001057706
FBRT	Franklin BSP Realty Trust, Inc.	Real Estate	Mortgage REITs	New York City, New York	view	0001562528
FCF	First Commonwealth Financial, Corp.	Financials	Regional Banks	Indiana, Pennsylvania	view	0000712537
FCPT	Four Corners Property Trust, Inc.	Real Estate	Other Specialized REITs	Mill Valley, California	view	0001650132
FELE	Franklin Electric	Industrials	Industrial Machinery & Supplies & Components	Fort Wayne, Indiana	view	0000038725
FFBC	First Financial Bancorp	Financials	Regional Banks	Cincinnati, Ohio	view	0000708955
FG	F&G Annuities & Life, Inc.	Financials	Life & Health Insurance	Des Moines, Iowa	view	0001934850
FHB	First Hawaiian, Inc.	Financials	Regional Banks	Honolulu, Hawaii	view	0000036377
FIBK	First Interstate BancSystem, Inc.	Financials	Regional Banks	Billings, Montana	view	0000860413
FIVN	Five9, Inc.	Information Technology	Application Software	San Ramon, California	view	0001288847
FIZZ	National Beverage Corp.	Consumer Staples	Soft Drinks & Non-alcoholic Beverages	Fort Lauderdale, Florida	view	0000069891
FLO	Flowers Foods	Consumer Staples	Packaged Foods & Meats	Thomasville, Georgia	view	0001128928
FMC	FMC Corporation	Materials	Fertilizers & Agricultural Chemicals	Philadelphia, Pennsylvania	view	0000037785
FORM	FormFactor, Inc.	Information Technology	Semiconductor Materials & Equipment	Livermore, California	view	0001039399
FOXF	Fox Factory	Consumer Discretionary	Automotive Parts & Equipment	Duluth, Georgia	view	0001424929
FRPT	Freshpet	Consumer Staples	Packaged Foods & Meats	Bedminster, New Jersey	view	0001611647
FSS	Federal Signal Corporation	Industrials	Construction Machinery & Heavy Transportation Equipment	Oak Brook, Illinois	view	0000277509
FTDR	Frontdoor, Inc.	Consumer Discretionary	Specialized Consumer Services	Memphis, Tennessee	view	0001727263
FTRE	Fortrea	Health Care	Biotechnology	Durham, North Carolina	view	0001965040
FUL	H.B. Fuller Company	Materials	Specialty Chemicals	Vadnais Heights, Minnesota	view	0000039368
FULT	Fulton Financial Corporation	Financials	Regional Banks	Lancaster, Pennsylvania	view	0000700564
FUN	Six Flags	Consumer Discretionary	Leisure Facilities	Charlotte, North Carolina	view	0001999001
GBX	The Greenbrier Companies, Inc.	Industrials	Construction Machinery & Heavy Transportation Equipment	Lake Oswego, Oregon	view	0000923120
GEO	GEO Group, Inc.	Industrials	Environmental & Facilities Services	Boca Raton, Florida	view	0000923796
GFF	Griffon Corporation	Industrials	Building Products	New York City, New York	view	0000050725
GIII	G-III Apparel Group, Ltd.	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York City, New York	view	0000821002
GKOS	Glaukos Corp.	Health Care	Health Care Equipment	San Clemente, California	view	0001192448
GNL	Global Net Lease, Inc.	Real Estate	Diversified REITs	New York City, New York	view	0001526113
GNW	Genworth Financial, Inc.	Financials	Multi-line Insurance	Henrico County, Virginia	view	0001276520
GO	Grocery Outlet	Consumer Staples	Food Retail	Emeryville, California	view	0001771515
GOLF	Acushnet Company	Consumer Discretionary	Leisure Products	Fairhaven, Massachusetts	view	0001672013
GPI	Group 1 Automotive, Inc.	Consumer Discretionary	Automotive Retail	Houston, Texas	view	0001031203
GPOR	Gulfport Energy Corporation	Energy	Oil & Gas Exploration & Production	Oklahoma City, Oklahoma	view	0000874499
GRBK	Green Brick Partners, Inc.	Consumer Discretionary	Homebuilding	Plano, Texas	view	0001373670
GSHD	Goosehead Insurance, Inc.	Financials	Insurance Brokers	Westlake, Texas	view	0001726978
GT	Goodyear Tire and Rubber Company	Consumer Discretionary	Tires & Rubber	Akron, Ohio	view	0000042582
GTES	Gates Corporation	Industrials	Industrial Machinery & Supplies & Components	Denver, Colorado	view	0001718512
GTM	ZoomInfo	Communication Services	Interactive Media & Services	Vancouver, Washington	view	0001794515
GTY	Getty Realty Corp.	Real Estate	Retail REITs	New York City, New York	view	0001052752
GVA	Granite Construction, Inc.	Industrials	Construction & Engineering	Watsonville, California	view	0000861459
HAFC	Hanmi Financial Corporation	Financials	Regional Banks	Los Angeles, California	view	0001109242
HASI	Hannon Armstrong Sustainable Infrastructure Capital, Inc.	Financials	Specialized Finance	Annapolis, Maryland	view	0001561894
HAYW	Hayward Holdings, Inc.	Industrials	Electrical Components & Equipment	Charlotte, North Carolina	view	0001834622
HCC	Warrior Met Coal, Inc.	Materials	Steel	Brookwood, Alabama	view	0001691303
HCI	HCI Group, Inc.	Financials	Property & Casualty Insurance	Tampa, Florida	view	0001400810
HCSG	Healthcare Services Group, Inc.	Industrials	Environmental & Facilities Services	Bensalem Township, Pennsylvania	view	0000731012
HE	Hawaiian Electric Industries, Inc.	Utilities	Electric Utilities	Honolulu, Hawaii	view	0000354707
HFWA	Heritage Financial Corporation	Financials	Regional Banks	Olympia, Washington	view	0001046025
HIW	Highwoods Properties	Real Estate	Office REITs	Raleigh, North Carolina	view	0000921082
HLIT	Harmonic Inc.	Information Technology	Communications Equipment	San Jose, California	view	0000851310
HLX	Helix Energy Solutions Group, Inc.	Energy	Oil & Gas Equipment & Services	Houston, Texas	view	0000866829
HMN	Horace Mann Educators Corporation	Financials	Multi-line Insurance	Springfield, Illinois	view	0000850141
HNI	HNI Corporation	Industrials	Office Services & Supplies	Muscatine, Iowa	view	0000048287
HOPE	Hope Bancorp, Inc.	Financials	Regional Banks	Los Angeles, California	view	0001128361
HP	Helmerich & Payne, Inc.	Energy	Oil & Gas Drilling	Tulsa, Oklahoma	view	0000046765
HRMY	Harmony Biosciences Holdings, Inc.	Health Care	Biotechnology	Plymouth Meeting, Pennsylvania	view	0001802665
HSTM	HealthStream, Inc.	Health Care	Health Care Technology	Nashville, Tennessee	view	0001095565
HTH	Hilltop Holdings Inc.	Financials	Regional Banks	Dallas, Texas	view	0001265131
HTLD	Heartland Express, Inc.	Industrials	Cargo Ground Transportation	North Liberty, Iowa	view	0000799233
HTO	H2O America	Utilities	Water Utilities	San Jose, California	view	0000766829
HUBG	Hub Group, Inc.	Industrials	Air Freight & Logistics	Oak Brook, Illinois	view	0000940942
HWKN	Hawkins, Inc.	Materials	Commodity Chemicals	Roseville, Minnesota	view	0000046250
HZO	MarineMax, Inc.	Consumer Discretionary	Specialty Stores	Clearwater, Florida	view	0001057060
IART	Integra Lifesciences Holdings	Health Care	Health Care Equipment	Princeton, New Jersey	view	0000917520
IBP	Installed Building Products, Inc.	Consumer Discretionary	Homebuilding	Columbus, Ohio	view	0001580905
ICHR	Ichor Holdings, Ltd.	Information Technology	Semiconductor Materials & Equipment	Fremont, California	view	0001652535
ICUI	ICU Medical	Health Care	Health Care Supplies	San Clemente, California	view	0000883984
IIPR	Innovative Industrial Properties, Inc.	Real Estate	Industrial REITs	Park City, Utah	view	0001677576
INDB	Independent Bank Corp.	Financials	Regional Banks	Rockland, Massachusetts	view	0000776901
INDV	Indivior	Health Care	Pharmaceuticals	Chesterfield County, Virginia	view	0001625297
INSP	Inspire Medical Systems, Inc.	Health Care	Health Care Equipment	Golden Valley, Minnesota	view	0001609550
INSW	International Seaways, Inc.	Energy	Oil & Gas Storage & Transportation	New York City, New York	view	0001679049
INVA	Innoviva, Inc.	Health Care	Pharmaceuticals	Burlingame, California	view	0001080014
INVX	Innovex International, Inc.	Energy	Oil & Gas Equipment & Services	Houston, Texas	view	0001042893
IOSP	Innospec, Inc.	Materials	Specialty Chemicals	Englewood, Colorado	view	0001054905
IPAR	Inter Parfums, Inc.	Consumer Staples	Household Products	New York City, New York	view	0000822663
IRDM	Iridium Communications	Communication Services	Alternative Carriers	McLean, Virginia	view	0001418819
ITGR	Integer Holdings Corporation	Health Care	Health Care Equipment	Plano, Texas	view	0001114483
ITRI	Itron, Inc.	Information Technology	Electronic Equipment & Instruments	Liberty Lake, Washington	view	0000780571
IVT	InvenTrust Properties	Real Estate	Retail REITs	Downers Grove, Illinois	view	0001307748
JBGS	JBG Smith	Real Estate	Office REITs	Bethesda, Maryland	view	0001689796
JBLU	JetBlue	Industrials	Passenger Airlines	Long Island City, New York	view	0001158463
JBSS	John B. Sanfilippo & Son, Inc.	Consumer Staples	Packaged Foods & Meats	Elgin, Illinois	view	0000880117
JBTM	JBT Marel Corporation	Industrials	Industrial Machinery & Supplies & Components	Chicago, Illinois	view	0001433660
JJSF	J&J Snack Foods Corp.	Consumer Staples	Packaged Foods & Meats	Pennsauken Township, New Jersey	view	0000785956
JOE	St. Joe Company	Real Estate	Real Estate Development	Panama City Beach, Florida	view	0000745308
JXN	Jackson Financial, Inc.	Financials	Life & Health Insurance	Lansing, Michigan	view	0001822993
KAI	Kadant Inc.	Industrials	Industrial Machinery & Supplies & Components	Westford, Massachusetts	view	0000886346
