version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
"take 20% profit, 2xATR stop, max 20 days",AVGO,2019-02-28,2019-03-08,27.537509999999997,26.364840148774498,86,100.84960720539299,-121.05927599999991,-1.200394125020709,-0.05111812941692982,6,False,stop_gap
"take 20% profit, 2xATR stop, max 20 days",LLY,2019-02-13,2019-03-15,120.01989999999999,114.71574393007435,18,95.47480925866151,53.22600000000014,0.5574873667021384,0.0246375809344951,21,False,max_hold
"take 20% profit, 2xATR stop, max 20 days",REGN,2019-02-13,2019-03-15,418.5181,396.3129371656971,4,88.82065133721153,-41.82628,-0.47090715245044396,-0.024984749763510825,21,False,max_hold
"take 20% profit, 2xATR stop, max 20 days",BSX,2019-03-12,2019-03-18,40.02999,38.64180250310281,71,98.56131227970039,-101.30488025742054,-1.0278361551227562,-0.03564400838971704,4,False,stop
"take 20% profit, 2xATR stop, max 20 days",TMUS,2019-03-26,2019-03-28,72.65257999999999,70.52141395384162,46,98.03363812328502,-101.27762316516171,-1.033090529985199,-0.03030432587682656,2,False,stop
"take 20% profit, 2xATR stop, max 20 days",SBUX,2019-03-01,2019-04-01,70.70062999999999,68.47477077460817,45,100.16366514263169,179.3074500000008,1.790144657193499,0.05635890373254126,21,False,max_hold
"take 20% profit, 2xATR stop, max 20 days",NOW,2019-03-28,2019-04-04,49.012964,46.43143394415855,38,98.09814212197502,-99.86253661185299,-1.017986013309856,-0.053617681431908606,5,False,stop
"take 20% profit, 2xATR stop, max 20 days",PANW,2019-04-01,2019-04-04,41.041,38.98973395614546,27,55.38418318407257,-56.43690600088843,-1.019007643632065,-0.050930917321962976,3,False,stop
"take 20% profit, 2xATR stop, max 20 days",LLY,2019-03-19,2019-04-16,125.47534999999998,119.98795154299991,17,93.28577376900117,-95.32556894523209,-1.0218660905496906,-0.04468914737869283,20,False,stop
"take 20% profit, 2xATR stop, max 20 days",ABT,2019-03-28,2019-04-16,79.38931,76.80961394307441,31,79.97057776469312,-82.35167579692828,-1.0297746758719355,-0.03346175537825753,13,False,stop
"take 20% profit, 2xATR stop, max 20 days",SYK,2019-04-05,2019-04-16,195.64544999999995,190.3181959086096,14,74.58155727946502,-77.24601202218565,-1.0357253835923088,-0.028201894229070885,7,False,stop
"take 20% profit, 2xATR stop, max 20 days",INTU,2019-04-16,2019-04-26,262.0618,253.63723362139314,11,92.67023016467556,-174.7704200000002,-1.8859392027993467,-0.060627760322183616,7,False,stop_gap
"take 20% profit, 2xATR stop, max 20 days",ANET,2019-04-24,2019-04-30,20.395975599999996,19.48834393045759,57,51.735005163917236,-52.845840767953355,-1.0214716438225249,-0.0454560267993685,4,False,stop
"take 20% profit, 2xATR stop, max 20 days",KLAC,2019-04-01,2019-05-01,11.999987999999998,11.48017944553312,191,99.28343390317387,158.56227900000027,1.5970668294434505,0.06918081918081931,21,False,max_hold
"take 20% profit, 2xATR stop, max 20 days",AAPL,2019-05-01,2019-05-06,52.52246999999999,50.91575403201552,48,77.1223664632546,-79.5663226567915,-1.031689330937496,-0.03156042969830798,3,False,stop
"take 20% profit, 2xATR stop, max 20 days",ADI,2019-04-30,2019-05-08,114.90478999999999,110.51257038166011,16,70.27551389343807,-72.0437150195446,-1.0251609846466259,-0.03918663607253917,6,False,stop
"take 20% profit, 2xATR stop, max 20 days",PANW,2019-04-23,2019-05-13,39.9882483,37.99239601682975,47,93.8050573090018,-95.59069992179293,-1.019035675303828,-0.050861059577523016,14,False,stop
"take 20% profit, 2xATR stop, max 20 days",AMD,2019-04-16,2019-05-16,27.867839999999998,25.686391493484145,44,95.98373428669753,-23.1092399999999,-0.2407620433997079,-0.018846455268868984,21,False,max_hold
"take 20% profit, 2xATR stop, max 20 days",TMO,2019-04-26,2019-05-28,270.73045999999994,257.7195866306305,7,91.07611358558614,19.71004000000039,0.21641283563860517,0.010400455124259222,21,False,max_hold
